Study,Time,DV,Arm,Dose,DV_CHR,Type_DV,Type_VAR,VAR,LVAR,UVAR,Route,Drug,Dose_freq,Unit_time,Unit_DV,Unit_dose,Source,Figure,Legend
,6.6,50.01156423,,,,,,,,,,,,,,,,,
,6.6,19.95139402,,,,,,,,,,,,,,,,,
,6.7,66.00925139,,,,,,,,,,,,,,,,,
,6.7,50.39860505,,,,,,,,,,,,,,,,,
,6.7,19.95139402,,,,,,,,,,,,,,,,,
,6.8,50.39860505,,,,,,,,,,,,,,,,,
,6.8,19.95139402,,,,,,,,,,,,,,,,,
,6.9,50.91465947,,,,,,,,,,,,,,,,,
,6.9,20.33843483,,,,,,,,,,,,,,,,,
,6.9,11.1784688,,,,,,,,,,,,,,,,,
,7,51.4307139,,,,,,,,,,,,,,,,,
,7,20.33843483,,,,,,,,,,,,,,,,,
,7,11.0494552,,,,,,,,,,,,,,,,,
,7.1,52.07578193,,,,,,,,,,,,,,,,,
,7.1,20.46744844,,,,,,,,,,,,,,,,,
,7.1,11.0494552,,,,,,,,,,,,,,,,,
,7.2,67.94445548,,,,,,,,,,,,,,,,,
,7.2,52.07578193,,,,,,,,,,,,,,,,,
,7.2,20.72547565,,,,,,,,,,,,,,,,,
,7.2,11.1784688,,,,,,,,,,,,,,,,,
,7.3,68.07346908,,,,,,,,,,,,,,,,,
,7.3,52.33380914,,,,,,,,,,,,,,,,,
,7.3,20.85448926,,,,,,,,,,,,,,,,,
,7.3,11.1784688,,,,,,,,,,,,,,,,,
,7.4,68.07346908,,,,,,,,,,,,,,,,,
,7.4,52.72084996,,,,,,,,,,,,,,,,,
,7.4,20.85448926,,,,,,,,,,,,,,,,,
,7.4,11.1784688,,,,,,,,,,,,,,,,,
,7.5,68.33149629,,,,,,,,,,,,,,,,,
,7.5,52.72084996,,,,,,,,,,,,,,,,,
,7.5,21.24153008,,,,,,,,,,,,,,,,,
,7.5,11.43649601,,,,,,,,,,,,,,,,,
,7.6,68.71853711,,,,,,,,,,,,,,,,,
,7.6,53.4949316,,,,,,,,,,,,,,,,,
,7.6,21.49955729,,,,,,,,,,,,,,,,,
,7.6,11.56550962,,,,,,,,,,,,,,,,,
,7.7,54.01098602,,,,,,,,,,,,,,,,,
,7.7,21.49955729,,,,,,,,,,,,,,,,,
,7.7,11.56550962,,,,,,,,,,,,,,,,,
